Title,Year,Make,Model,Date of Sale, Sold Price,Type of Sale,Source
18k-Mile 2001 Audi TT Coupe 225 Quattro 6-Speed,2001,,,2/9/24,"$17,250",No Reserve,https://bringatrailer.com/listing/2001-audi-tt-coupe-5/
28-Years-Owned 1988 BMW M3 Project,1988,BMW,BMW E30 M3,2/9/24,"$40,500",No Reserve,https://bringatrailer.com/listing/1988-bmw-m3-215/
1963 Volkswagen Karmann Ghia Race Car,1963,Volkswagen,Volkswagen Karmann Ghia,2/9/24,"$8,000",No Reserve,https://bringatrailer.com/listing/1962-volkswagen-karmann-ghia-coupe/
2019 Land Rover Range Rover HSE Td6,2019,Land Rover,Land Rover Range Rover L405,2/9/24,"$39,000",,https://bringatrailer.com/listing/2019-land-rover-range-rover-7/
2007 Honda Element EX,2007,,,2/9/24,"$12,200",No Reserve,https://bringatrailer.com/listing/2007-honda-element-22/
1969 Mercedes-Benz 230 4-Speed Project,1969,Mercedes-Benz,Mercedes-Benz W114 & W115,2/9/24,"$2,500",No Reserve,https://bringatrailer.com/listing/1969-mercedes-benz-230-4/
2003 Mini Cooper S 6-Speed,2003,Mini,Mini Modern,2/9/24,"$13,150",No Reserve,https://bringatrailer.com/listing/2003-mini-cooper-s-75/
1972 Chevrolet K20 Cheyenne 4×4 Pickup,1972,,,2/9/24,"$72,000",,https://bringatrailer.com/listing/1972-chevrolet-k20-pickup-2/
1964 Chevrolet Chevy II Nova SS Sport Coupe,1964,Chevrolet,Chevrolet Nova,2/9/24,"$24,500",,https://bringatrailer.com/listing/1964-chevrolet-chevy-ii-nova-ss-2/
1975 Bultaco Alpina 350,1975,,,2/9/24,"$2,500",,https://bringatrailer.com/listing/1975-bultaco-alpina-350/
460-Powered 1972 Ford F-250 Sport Custom 4×4,1972,Ford,Ford F-Series 1967-1972,2/9/24,"$23,750",,https://bringatrailer.com/listing/1972-ford-f-250-68/
1996 GMC Suburban K2500 SLE 6.5L Turbodiesel 4×4,1996,GMC,GMC Suburban (GMT400 1992-1999),2/9/24,"$15,445",No Reserve,https://bringatrailer.com/listing/1996-gmc-suburban-k2500-2/
388k-Mile 1993 Toyota Supra Turbo Hardtop 6-Speed,1993,Toyota,Toyota Supra A80 (1993-2002),2/9/24,"$49,500",,https://bringatrailer.com/listing/1993-toyota-supra-151/
1995 Toyota Bandeirante BJ50,1995,Toyota,Toyota Land Cruiser FJ40,2/9/24,"$31,000",Alumni,https://bringatrailer.com/listing/1995-toyota-bandeirante-8/
2020 BMW 440i xDrive Coupe 6-Speed,2020,BMW,BMW F32 4-Series,2/9/24,"$25,000",No Reserve,https://bringatrailer.com/listing/2020-bmw-440i-coupe-2/
1985 Ford Mustang SVO,1985,Ford,Ford Fox-Body Mustang,2/9/24,"$15,000",Alumni,https://bringatrailer.com/listing/1985-ford-mustang-svo-9/
32k-Mile 2009 Lexus SC430,2009,Lexus,Lexus SC,2/9/24,"$35,500",,https://bringatrailer.com/listing/2009-lexus-sc430-3/
1999 BMW M3 Coupe Track Car,1999,BMW,BMW E36 M3,2/9/24,"$18,580",No Reserve,https://bringatrailer.com/listing/1999-bmw-m3-179/
"4,300-Mile 2011 Chevrolet Camaro 2SS RS Convertible",2011,,,2/9/24,"$23,250",No Reserve,https://bringatrailer.com/listing/2011-chevrolet-camaro-convertible-8/
1992 Alfa Romeo Spider Veloce 5-Speed,1992,Alfa Romeo,Alfa Romeo 105/115 Spider Series 4,2/9/24,"$25,750",,https://bringatrailer.com/listing/1992-alfa-romeo-spider-veloce-25/
327-Powered 1955 Chevrolet Bel Air 2-Door Sedan,1955,,,2/9/24,"$30,000",,https://bringatrailer.com/listing/1955-chevrolet-bel-air-2-door-2/
1988 Honda ZB50,1988,Honda,Honda Motorcycles,2/9/24,"$1,666",No Reserve,https://bringatrailer.com/listing/1988-honda-zb50-13/
1944 Willys MB,1944,Willys,,2/9/24,"$24,750",,https://bringatrailer.com/listing/1944-willys-mb-2/
Original-Owner 1990 Ferrari Mondial T Coupe 5-Speed,1990,Ferrari,Ferrari Mondial,2/9/24,"$81,051",,https://bringatrailer.com/listing/1990-ferrari-mondial-t-coupe/
25k-Mile 2015 Chevrolet SS Sedan,2015,Chevrolet,Chevrolet SS Sedan,2/9/24,"$31,750",,https://bringatrailer.com/listing/2015-chevrolet-ss-sedan-26/
33k-Mile 2003 Ford Mustang SVT Cobra Convertible,2003,Ford,Ford Mustang SN95 1994-2004,2/9/24,"$25,500",,https://bringatrailer.com/listing/2003-ford-mustang-svt-cobra-convertible-19/
2002 Toyota Land Cruiser UZJ100,2002,Toyota,Toyota Land Cruiser 100-Series,2/9/24,"$24,250",No Reserve,https://bringatrailer.com/listing/2002-toyota-land-cruiser-45/
1993 Jaguar XJS Coupe 2+2,1993,Jaguar,Jaguar XJS,2/9/24,"$5,500",No Reserve,https://bringatrailer.com/listing/1993-jaguar-xjs-coupe-3/
GT350-Style 1968 Ford Mustang Convertible,1968,Ford,Ford Mustang 1967-1968,2/9/24,"$55,555",Alumni,https://bringatrailer.com/listing/1968-ford-mustang-214/
1995 Toyota Hilux Surf SSR-X Turbodiesel 5-Speed,1995,Toyota,Toyota 4Runner (N180),2/9/24,"$6,400",,https://bringatrailer.com/listing/1995-toyota-hilux-surf-5/
1930 Ford Model A Roadster,1930,Ford,Ford  A,2/9/24,"$20,750",No Reserve,https://bringatrailer.com/listing/1930-ford-model-a-191/
2001 BMW 330i Sedan 5-Speed,2001,BMW,BMW E46 3-Series Sedan,2/9/24,"$10,250",No Reserve,https://bringatrailer.com/listing/2001-bmw-330i-sedan-7/
2006 Aston Martin V8 Vantage Coupe 6-Speed,2006,Aston Martin,Aston Martin V8 Vantage (2006+),2/9/24,"$38,000",Alumni,https://bringatrailer.com/listing/2006-aston-martin-v8-vantage-54/
1987 Mercedes-Benz 300SDL,1987,Mercedes-Benz,Mercedes-Benz W126 S-Class,2/9/24,"$9,900",No Reserve,https://bringatrailer.com/listing/1987-mercedes-benz-300sdl-27/
9k-Mile 2011 Chevrolet Corvette ZR1 3ZR,2011,Chevrolet,Chevrolet Corvette C6,2/9/24,"$89,000",,https://bringatrailer.com/listing/2011-chevrolet-corvette-zr1-30/
2022 Ferrari 812 GTS,2022,Ferrari,Ferrari 812 Superfast & 812 GTS,2/9/24,"$631,812",Premium,https://bringatrailer.com/listing/2022-ferrari-812-gts-10/
2022 Ferrari 812 GTS,2022,,,2/9/24,"$631,812",Premium,https://bringatrailer.com/listing/2022-ferrari-812-gts-10/
25k-Mile 2017 Mercedes-Benz G550,2017,,,2/9/24,"$72,500",,https://bringatrailer.com/listing/2017-mercedes-benz-g550-12/
1987 Porsche 911 Carrera Targa G50,1987,Porsche,Porsche 911 Carrera 3.2,2/9/24,"$56,065",,https://bringatrailer.com/listing/1987-porsche-911-carrera-targa-93/
Fuel-Injected 1957 Chevrolet Corvette 4-Speed,1957,Chevrolet,Chevrolet Corvette C1,2/9/24,"$76,000",,https://bringatrailer.com/listing/1957-chevrolet-corvette-55/
2008 Audi R8 Coupe 6-Speed,2008,Audi,Audi R8,2/9/24,"$66,000",,https://bringatrailer.com/listing/2008-audi-r8-37/
362-Mile 2006 Ferrari F430 Spider,2006,Ferrari,Ferrari F430,2/9/24,"$180,000",Premium,https://bringatrailer.com/listing/2006-ferrari-f430-spider-55/
"4,500-Mile 2003 BMW Alpina Roadster V8",2003,BMW,BMW Z8,2/9/24,"$300,000",Premium,https://bringatrailer.com/listing/2003-bmw-z8-alpina-v8-9/
1941 Chrysler Town and Country Six-Passenger Station Wagon,1941,Chrysler,Chrysler Town & Country,2/9/24,"$141,000",Premium,https://bringatrailer.com/listing/1941-chrysler-town-and-country/
1958 Porsche 356 Emory Special Speedster,1958,Porsche,Porsche 356,2/9/24,"$802,000",Premium,https://bringatrailer.com/listing/1958-porsche-356-emory-speedster-16/
"3,300-Mile 2007 Porsche 911 GT3 RS",2007,Porsche,Porsche 997 GT3,2/9/24,"$273,000",Premium,https://bringatrailer.com/listing/2007-porsche-911-gt3-rs-18/
Ferrari Dino Wire Sculpture,,,,2/8/24,"$8,750",No Reserve,https://bringatrailer.com/listing/ferrari-246-dino-wire-sculpture/
302-Powered 1965 Ford Mustang Fastback,1965,,,2/8/24,"$41,000",,https://bringatrailer.com/listing/1965-ford-mustang-fastback-227/
Ferrari 308 Jack Kit,,Parts and Automobilia,Parts and Automobilia – Tools,2/8/24,"$1,000",No Reserve,https://bringatrailer.com/listing/ferrari-308-jack-kit-2/
1968 Ford Bronco,1968,,,2/8/24,"$52,000",No Reserve,https://bringatrailer.com/listing/1968-ford-bronco-123/
1971 Suzuki TS-90R Honcho,1971,Suzuki,Suzuki Motorcycles,2/8/24,"$1,580",No Reserve,https://bringatrailer.com/listing/1971-suzuki-ts-90r-honcho/
1978 Chevrolet Corvette Pace Car Edition,1978,,,2/8/24,"$25,750",Alumni,https://bringatrailer.com/listing/1978-chevrolet-corvette-161/
1987 Honda Z50R,1987,,,2/8/24,"$7,000",No Reserve,https://bringatrailer.com/listing/1987-honda-z50r/
20×9.5″ and 21×12.5″ BBS FI-R Center-Lock Wheels for Porsche,,Porsche,Porsche 991 GT2,2/8/24,"$4,400",No Reserve,https://bringatrailer.com/listing/20x9-5%e2%80%b3-and-21x12-5%e2%80%b3-bbs-fir-center-lock-wheels-for-porsche/
1990 Cadillac Fleetwood Coupe,1990,Cadillac,Cadillac Fleetwood 1985-1996,2/8/24,"$5,000",No Reserve,https://bringatrailer.com/listing/1990-cadillac-fleetwood-13/
2021 Chevrolet Corvette Stingray Coupe 2LT Z51,2021,Chevrolet,Chevrolet Corvette C8,2/8/24,"$66,250",,https://bringatrailer.com/listing/2021-chevrolet-corvette-stingray-coupe-35/
